Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.01249181840,0,2
T1Q1,0.04,T1Q2,0.013,0.01323025868,0,2
T1Q1,0.04,T1Q3,0.016,0.01405157918,0,2
T1Q1,0.04,T2Q1,0.020,0.01527488704,0,2
T1Q1,0.04,T2Q2,0.026,0.01738262993,0,2
T1Q1,0.04,T2Q3,0.032,0.01981484126,0,2
T1Q2,0.05,T1Q1,0.010,0.01249181840,0,2
T1Q2,0.05,T1Q2,0.013,0.01323025868,0,2
T1Q2,0.05,T1Q3,0.016,0.01405157918,0,2
T1Q2,0.05,T2Q1,0.020,0.01527488704,0,2
T1Q2,0.05,T2Q2,0.026,0.01738262993,0,2
T1Q2,0.05,T2Q3,0.032,0.01981484126,0,2
T1Q3,0.06,T1Q1,0.010,0.01249181840,0,2
T1Q3,0.06,T1Q2,0.013,0.01323025868,0,2
T1Q3,0.06,T1Q3,0.016,0.01405157918,0,2
T1Q3,0.06,T2Q1,0.020,0.01527488704,0,2
T1Q3,0.06,T2Q2,0.026,0.01738262993,0,2
T1Q3,0.06,T2Q3,0.032,0.01981484126,0,2
T2Q1,0.06,T1Q1,0.010,0.01249181840,0,2
T2Q1,0.06,T1Q2,0.013,0.01323025868,0,2
T2Q1,0.06,T1Q3,0.016,0.01405157918,0,2
T2Q1,0.06,T2Q1,0.020,0.01527488704,0,2
T2Q1,0.06,T2Q2,0.026,0.01738262993,0,2
T2Q1,0.06,T2Q3,0.032,0.01981484126,0,2
T2Q2,0.07,T1Q1,0.010,0.01249181840,0,2
T2Q2,0.07,T1Q2,0.013,0.01323025868,0,2
T2Q2,0.07,T1Q3,0.016,0.01405157918,0,2
T2Q2,0.07,T2Q1,0.020,0.01527488704,0,2
T2Q2,0.07,T2Q2,0.026,0.01738262993,0,2
T2Q2,0.07,T2Q3,0.032,0.01981484126,0,2
T2Q3,0.09,T1Q1,0.010,0.01279345256,1,1
T2Q3,0.09,T1Q2,0.013,0.01323025868,0,2
T2Q3,0.09,T1Q3,0.016,0.01405157918,0,2
T2Q3,0.09,T2Q1,0.020,0.01527488704,0,2
T2Q3,0.09,T2Q2,0.026,0.01738262993,0,2
T2Q3,0.09,T2Q3,0.032,0.01981484126,0,2
