Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.1362410513,0,2
T1Q2,0.05,T1Q2,0.013,0.1427147908,0,2
T1Q3,0.06,T1Q3,0.016,0.1491706764,0,2
T1Q4,0.07,T1Q4,0.019,0.1556087818,0,2
T1Q5,0.10,T1Q5,0.025,0.1684319455,0,2
T2Q1,0.06,T2Q1,0.020,0.1577508785,0,2
T2Q2,0.07,T2Q2,0.026,0.1705622944,0,2
T2Q3,0.09,T2Q3,0.032,0.1833035610,0,2
T2Q4,0.11,T2Q4,0.038,0.1959752532,0,2
T2Q5,0.15,T2Q5,0.050,0.2211121811,0,2
T3Q1,0.10,T3Q1,0.025,0.1684319455,0,2
T3Q2,0.13,T3Q2,0.032,0.1833035610,0,2
T3Q3,0.16,T3Q3,0.040,0.2001837880,0,2
T3Q4,0.19,T3Q4,0.047,0.2148535807,0,2
T3Q5,0.25,T3Q5,0.062,0.2459775510,0,2
