Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.01200999436,3,1
T1Q1,0.04,T1Q2,0.013,0.01211150466,3,1
T1Q1,0.04,T1Q3,0.016,0.01223951088,0,4
T1Q1,0.04,T1Q4,0.019,0.01271513390,0,4
T1Q1,0.04,T1Q5,0.025,0.01377503749,0,4
T1Q1,0.04,T2Q1,0.020,0.01288117289,0,4
T1Q1,0.04,T2Q2,0.026,0.01396779240,0,4
T1Q1,0.04,T2Q3,0.032,0.01523858001,0,4
T1Q1,0.04,T2Q4,0.038,0.01673922447,0,4
T1Q1,0.04,T2Q5,0.050,0.02064495374,0,4
T1Q1,0.04,T3Q1,0.025,0.01377503749,0,4
T1Q1,0.04,T3Q2,0.032,0.01523858001,0,4
T1Q1,0.04,T3Q3,0.040,0.01729934879,0,4
T1Q1,0.04,T3Q4,0.047,0.01953696548,0,4
T1Q1,0.04,T3Q5,0.062,0.02617658679,0,4
T1Q2,0.05,T1Q1,0.010,0.01241929694,3,1
T1Q2,0.05,T1Q2,0.013,0.01252392638,3,1
T1Q2,0.05,T1Q3,0.016,0.01262987291,3,1
T1Q2,0.05,T1Q4,0.019,0.01273717415,3,1
T1Q2,0.05,T1Q5,0.025,0.01377503749,0,4
T1Q2,0.05,T2Q1,0.020,0.01288117289,0,4
T1Q2,0.05,T2Q2,0.026,0.01396779240,0,4
T1Q2,0.05,T2Q3,0.032,0.01523858001,0,4
T1Q2,0.05,T2Q4,0.038,0.01673922447,0,4
T1Q2,0.05,T2Q5,0.050,0.02064495374,0,4
T1Q2,0.05,T3Q1,0.025,0.01377503749,0,4
T1Q2,0.05,T3Q2,0.032,0.01523858001,0,4
T1Q2,0.05,T3Q3,0.040,0.01729934879,0,4
T1Q2,0.05,T3Q4,0.047,0.01953696548,0,4
T1Q2,0.05,T3Q5,0.062,0.02617658679,0,4
T1Q3,0.06,T1Q1,0.010,0.01283445664,3,1
T1Q3,0.06,T1Q2,0.013,0.01294222696,3,1
T1Q3,0.06,T1Q3,0.016,0.01305135298,3,1
T1Q3,0.06,T1Q4,0.019,0.01316187346,3,1
T1Q3,0.06,T1Q5,0.025,0.01377503749,0,4
T1Q3,0.06,T2Q1,0.020,0.01319903051,3,1
T1Q3,0.06,T2Q2,0.026,0.01396779240,0,4
T1Q3,0.06,T2Q3,0.032,0.01523858001,0,4
T1Q3,0.06,T2Q4,0.038,0.01673922447,0,4
T1Q3,0.06,T2Q5,0.050,0.02064495374,0,4
T1Q3,0.06,T3Q1,0.025,0.01377503749,0,4
T1Q3,0.06,T3Q2,0.032,0.01523858001,0,4
T1Q3,0.06,T3Q3,0.040,0.01729934879,0,4
T1Q3,0.06,T3Q4,0.047,0.01953696548,0,4
T1Q3,0.06,T3Q5,0.062,0.02617658679,0,4
T1Q4,0.07,T1Q1,0.010,0.01325560008,3,1
T1Q4,0.07,T1Q2,0.013,0.01336653299,3,1
T1Q4,0.07,T1Q3,0.016,0.01347886045,3,1
T1Q4,0.07,T1Q4,0.019,0.01359262238,3,1
T1Q4,0.07,T1Q5,0.025,0.01382462057,3,1
T1Q4,0.07,T2Q1,0.020,0.01363086902,3,1
T1Q4,0.07,T2Q2,0.026,0.01396779240,0,4
T1Q4,0.07,T2Q3,0.032,0.01523858001,0,4
T1Q4,0.07,T2Q4,0.038,0.01673922447,0,4
T1Q4,0.07,T2Q5,0.050,0.02064495374,0,4
T1Q4,0.07,T3Q1,0.025,0.01382462057,3,1
T1Q4,0.07,T3Q2,0.032,0.01523858001,0,4
T1Q4,0.07,T3Q3,0.040,0.01729934879,0,4
T1Q4,0.07,T3Q4,0.047,0.01953696548,0,4
T1Q4,0.07,T3Q5,0.062,0.02617658679,0,4
T1Q5,0.10,T1Q1,0.010,0.01455625509,3,1
T1Q5,0.10,T1Q2,0.013,0.01467680554,3,1
T1Q5,0.10,T1Q3,0.016,0.01479886853,3,1
T1Q5,0.10,T1Q4,0.019,0.01492248757,3,1
T1Q5,0.10,T1Q5,0.025,0.01517457995,3,1
T1Q5,0.10,T2Q1,0.020,0.01496404757,3,1
T1Q5,0.10,T2Q2,0.026,0.01521724587,3,1
T1Q5,0.10,T2Q3,0.032,0.01547732116,3,1
T1Q5,0.10,T2Q4,0.038,0.01673922447,0,4
T1Q5,0.10,T2Q5,0.050,0.02064495374,0,4
T1Q5,0.10,T3Q1,0.025,0.01517457995,3,1
T1Q5,0.10,T3Q2,0.032,0.01547732116,3,1
T1Q5,0.10,T3Q3,0.040,0.01729934879,0,4
T1Q5,0.10,T3Q4,0.047,0.01953696548,0,4
T1Q5,0.10,T3Q5,0.062,0.02617658679,0,4
T2Q1,0.06,T1Q1,0.010,0.01283445664,3,1
T2Q1,0.06,T1Q2,0.013,0.01294222696,3,1
T2Q1,0.06,T1Q3,0.016,0.01305135298,3,1
T2Q1,0.06,T1Q4,0.019,0.01316187346,3,1
T2Q1,0.06,T1Q5,0.025,0.01377503749,0,4
T2Q1,0.06,T2Q1,0.020,0.01319903051,3,1
T2Q1,0.06,T2Q2,0.026,0.01396779240,0,4
T2Q1,0.06,T2Q3,0.032,0.01523858001,0,4
T2Q1,0.06,T2Q4,0.038,0.01673922447,0,4
T2Q1,0.06,T2Q5,0.050,0.02064495374,0,4
T2Q1,0.06,T3Q1,0.025,0.01377503749,0,4
T2Q1,0.06,T3Q2,0.032,0.01523858001,0,4
T2Q1,0.06,T3Q3,0.040,0.01729934879,0,4
T2Q1,0.06,T3Q4,0.047,0.01953696548,0,4
T2Q1,0.06,T3Q5,0.062,0.02617658679,0,4
T2Q2,0.07,T1Q1,0.010,0.01325560008,3,1
T2Q2,0.07,T1Q2,0.013,0.01336653299,3,1
T2Q2,0.07,T1Q3,0.016,0.01347886045,3,1
T2Q2,0.07,T1Q4,0.019,0.01359262238,3,1
T2Q2,0.07,T1Q5,0.025,0.01382462057,3,1
T2Q2,0.07,T2Q1,0.020,0.01363086902,3,1
T2Q2,0.07,T2Q2,0.026,0.01396779240,0,4
T2Q2,0.07,T2Q3,0.032,0.01523858001,0,4
T2Q2,0.07,T2Q4,0.038,0.01673922447,0,4
T2Q2,0.07,T2Q5,0.050,0.02064495374,0,4
T2Q2,0.07,T3Q1,0.025,0.01382462057,3,1
T2Q2,0.07,T3Q2,0.032,0.01523858001,0,4
T2Q2,0.07,T3Q3,0.040,0.01729934879,0,4
T2Q2,0.07,T3Q4,0.047,0.01953696548,0,4
T2Q2,0.07,T3Q5,0.062,0.02617658679,0,4
T2Q3,0.09,T1Q1,0.010,0.01411636320,3,1
T2Q3,0.09,T1Q2,0.013,0.01423368625,3,1
T2Q3,0.09,T1Q3,0.016,0.01435248226,3,1
T2Q3,0.09,T1Q4,0.019,0.01447279353,3,1
T2Q3,0.09,T1Q5,0.025,0.01471814290,3,1
T2Q3,0.09,T2Q1,0.020,0.01451324166,3,1
T2Q3,0.09,T2Q2,0.026,0.01475966787,3,1
T2Q3,0.09,T2Q3,0.032,0.01523858001,0,4
T2Q3,0.09,T2Q4,0.038,0.01673922447,0,4
T2Q3,0.09,T2Q5,0.050,0.02064495374,0,4
T2Q3,0.09,T3Q1,0.025,0.01471814290,3,1
T2Q3,0.09,T3Q2,0.032,0.01523858001,0,4
T2Q3,0.09,T3Q3,0.040,0.01729934879,0,4
T2Q3,0.09,T3Q4,0.047,0.01953696548,0,4
T2Q3,0.09,T3Q5,0.062,0.02617658679,0,4
T2Q4,0.11,T1Q1,0.010,0.01500267536,3,1
T2Q4,0.11,T1Q2,0.013,0.01512647466,3,1
T2Q4,0.11,T1Q3,0.016,0.01525182633,3,1
T2Q4,0.11,T1Q4,0.019,0.01537877508,3,1
T2Q4,0.11,T1Q5,0.025,0.01563765523,3,1
T2Q4,0.11,T2Q1,0.020,0.01542145433,3,1
T2Q4,0.11,T2Q2,0.026,0.01568146966,3,1
T2Q4,0.11,T2Q3,0.032,0.01594854438,3,1
T2Q4,0.11,T2Q4,0.038,0.01673922447,0,4
T2Q4,0.11,T2Q5,0.050,0.02064495374,0,4
T2Q4,0.11,T3Q1,0.025,0.01563765523,3,1
T2Q4,0.11,T3Q2,0.032,0.01594854438,3,1
T2Q4,0.11,T3Q3,0.040,0.01729934879,0,4
T2Q4,0.11,T3Q4,0.047,0.01953696548,0,4
T2Q4,0.11,T3Q5,0.062,0.02617658679,0,4
T2Q5,0.15,T1Q1,0.010,0.01685663597,3,1
T2Q5,0.15,T1Q2,0.013,0.01699364243,3,1
T2Q5,0.15,T1Q3,0.016,0.01713236315,3,1
T2Q5,0.15,T1Q4,0.019,0.01727284780,3,1
T2Q5,0.15,T1Q5,0.025,0.01755932157,3,1
T2Q5,0.15,T2Q1,0.020,0.01732007698,3,1
T2Q5,0.15,T2Q2,0.026,0.01760780503,3,1
T2Q5,0.15,T2Q3,0.032,0.01790333457,3,1
T2Q5,0.15,T2Q4,0.038,0.01820717040,3,1
T2Q5,0.15,T2Q5,0.050,0.02064495374,0,4
T2Q5,0.15,T3Q1,0.025,0.01755932157,3,1
T2Q5,0.15,T3Q2,0.032,0.01790333457,3,1
T2Q5,0.15,T3Q3,0.040,0.01831038840,3,1
T2Q5,0.15,T3Q4,0.047,0.01953696548,0,4
T2Q5,0.15,T3Q5,0.062,0.02617658679,0,4
T3Q1,0.10,T1Q1,0.010,0.01455625509,3,1
T3Q1,0.10,T1Q2,0.013,0.01467680554,3,1
T3Q1,0.10,T1Q3,0.016,0.01479886853,3,1
T3Q1,0.10,T1Q4,0.019,0.01492248757,3,1
T3Q1,0.10,T1Q5,0.025,0.01517457995,3,1
T3Q1,0.10,T2Q1,0.020,0.01496404757,3,1
T3Q1,0.10,T2Q2,0.026,0.01521724587,3,1
