Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.01589780342,1,1
T1Q2,0.05,T1Q2,0.013,0.01622732012,1,1
T1Q3,0.06,T1Q3,0.016,0.01656348975,1,1
T1Q4,0.07,T1Q4,0.019,0.01690659913,1,1
T1Q5,0.10,T1Q5,0.025,0.01781724252,1,1
T2Q1,0.06,T2Q1,0.020,0.01675978201,1,1
T2Q2,0.07,T2Q2,0.026,0.01728841773,0,2
T2Q3,0.09,T2Q3,0.032,0.01804972603,0,2
T2Q4,0.11,T2Q4,0.038,0.01889621088,0,2
T2Q5,0.15,T2Q5,0.050,0.02088490205,0,2
T3Q1,0.10,T3Q1,0.025,0.01781724252,1,1
T3Q2,0.13,T3Q2,0.032,0.01882924440,1,1
T3Q3,0.16,T3Q3,0.040,0.01996181488,1,1
T3Q4,0.19,T3Q4,0.047,0.02109772370,1,1
T3Q5,0.25,T3Q5,0.062,0.02366305988,1,1
