Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.076442485639132665759,3,1
T1Q2,0.05,T1Q2,0.013,0.079758380443745557420,3,1
T1Q3,0.06,T1Q3,0.016,0.083174716442629154826,3,1
T1Q4,0.07,T1Q4,0.019,0.086694593353467919730,3,1
T1Q5,0.10,T1Q5,0.025,0.096974527392615108568,3,1
T2Q1,0.06,T2Q1,0.020,0.084769939299003012774,0,4
T2Q2,0.07,T2Q2,0.026,0.093081543557865749876,0,4
T2Q3,0.09,T2Q3,0.032,0.10239042040304831651,0,4
T2Q4,0.11,T2Q4,0.038,0.11268051051126712474,0,4
T2Q5,0.15,T2Q5,0.050,0.13614179895971149531,0,4
T3Q1,0.10,T3Q1,0.025,0.096974527392615108568,3,1
T3Q2,0.13,T3Q2,0.032,0.10837752558268978693,3,1
T3Q3,0.16,T3Q3,0.040,0.12110560144201756293,3,1
T3Q4,0.19,T3Q4,0.047,0.13448145513143235422,3,1
T3Q5,0.25,T3Q5,0.062,0.16875685353430444901,1,3
