Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.004534939957,0,4
T1Q1,0.04,T1Q2,0.013,0.004978486242,0,4
T1Q1,0.04,T1Q3,0.016,0.005494896585,0,4
T1Q1,0.04,T2Q1,0.020,0.006315990379,0,4
T1Q1,0.04,T2Q2,0.026,0.007884225031,0,4
T1Q1,0.04,T2Q3,0.032,0.009932419305,0,4
T1Q2,0.05,T1Q1,0.010,0.004534939957,0,4
T1Q2,0.05,T1Q2,0.013,0.004978486242,0,4
T1Q2,0.05,T1Q3,0.016,0.005494896585,0,4
T1Q2,0.05,T2Q1,0.020,0.006315990379,0,4
T1Q2,0.05,T2Q2,0.026,0.007884225031,0,4
T1Q2,0.05,T2Q3,0.032,0.009932419305,0,4
T1Q3,0.06,T1Q1,0.010,0.004556968873,3,1
T1Q3,0.06,T1Q2,0.013,0.004978486242,0,4
T1Q3,0.06,T1Q3,0.016,0.005494896585,0,4
T1Q3,0.06,T2Q1,0.020,0.006315990379,0,4
T1Q3,0.06,T2Q2,0.026,0.007884225031,0,4
T1Q3,0.06,T2Q3,0.032,0.009932419305,0,4
T2Q1,0.06,T1Q1,0.010,0.004556968873,3,1
T2Q1,0.06,T1Q2,0.013,0.004978486242,0,4
T2Q1,0.06,T1Q3,0.016,0.005494896585,0,4
T2Q1,0.06,T2Q1,0.020,0.006315990379,0,4
T2Q1,0.06,T2Q2,0.026,0.007884225031,0,4
T2Q1,0.06,T2Q3,0.032,0.009932419305,0,4
T2Q2,0.07,T1Q1,0.010,0.004713771902,3,1
T2Q2,0.07,T1Q2,0.013,0.004978486242,0,4
T2Q2,0.07,T1Q3,0.016,0.005494896585,0,4
T2Q2,0.07,T2Q1,0.020,0.006315990379,0,4
T2Q2,0.07,T2Q2,0.026,0.007884225031,0,4
T2Q2,0.07,T2Q3,0.032,0.009932419305,0,4
T2Q3,0.09,T1Q1,0.010,0.005035769404,3,1
T2Q3,0.09,T1Q2,0.013,0.005136012420,3,1
T2Q3,0.09,T1Q3,0.016,0.005494896585,0,4
T2Q3,0.09,T2Q1,0.020,0.006315990379,0,4
T2Q3,0.09,T2Q2,0.026,0.007884225031,0,4
T2Q3,0.09,T2Q3,0.032,0.009932419305,0,4
