Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.030419748510441052618,3,1
T1Q2,0.05,T1Q2,0.013,0.031722044252483743601,3,1
T1Q3,0.06,T1Q3,0.016,0.033058946375254542434,3,1
T1Q4,0.07,T1Q4,0.019,0.034431463307131077489,3,1
T1Q5,0.10,T1Q5,0.025,0.038443912717062194285,3,1
T2Q1,0.06,T2Q1,0.020,0.033435050719962989471,3,1
T2Q2,0.07,T2Q2,0.026,0.035704869699925402850,0,4
T2Q3,0.09,T2Q3,0.032,0.039090755860773080645,0,4
T2Q4,0.11,T2Q4,0.038,0.043029557204994089888,0,4
T2Q5,0.15,T2Q5,0.050,0.052838732416426168135,0,4
T3Q1,0.10,T3Q1,0.025,0.038443912717062194285,3,1
T3Q2,0.13,T3Q2,0.032,0.042855545007120147917,3,1
T3Q3,0.16,T3Q3,0.040,0.047730562192595018940,3,1
T3Q4,0.19,T3Q4,0.047,0.052836384473313595071,3,1
T3Q5,0.25,T3Q5,0.062,0.065663712442165599962,0,4
