Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.005409642522,1,1
T1Q1,0.04,T1Q2,0.013,0.005456389509,1,1
T1Q1,0.04,T1Q3,0.016,0.005503908462,1,1
T1Q1,0.04,T1Q4,0.019,0.005602878141,0,2
T1Q1,0.04,T1Q5,0.025,0.005820723780,0,2
T1Q1,0.04,T2Q1,0.020,0.005637978228,0,2
T1Q1,0.04,T2Q2,0.026,0.005858817840,0,2
T1Q1,0.04,T2Q3,0.032,0.006099450715,0,2
T1Q1,0.04,T2Q4,0.038,0.006363362765,0,2
T1Q1,0.04,T2Q5,0.050,0.006977356756,0,2
T1Q1,0.04,T3Q1,0.025,0.005820723780,0,2
T1Q1,0.04,T3Q2,0.032,0.006099450715,0,2
T1Q1,0.04,T3Q3,0.040,0.006457178227,0,2
T1Q1,0.04,T3Q4,0.047,0.006811682019,0,2
T1Q1,0.04,T3Q5,0.062,0.007738151668,0,2
T1Q2,0.05,T1Q1,0.010,0.005474292626,1,1
T1Q2,0.05,T1Q2,0.013,0.005521550322,1,1
T1Q2,0.05,T1Q3,0.016,0.005569588443,1,1
T1Q2,0.05,T1Q4,0.019,0.005618435002,1,1
T1Q2,0.05,T1Q5,0.025,0.005820723780,0,2
T1Q2,0.05,T2Q1,0.020,0.005637978228,0,2
T1Q2,0.05,T2Q2,0.026,0.005858817840,0,2
T1Q2,0.05,T2Q3,0.032,0.006099450715,0,2
T1Q2,0.05,T2Q4,0.038,0.006363362765,0,2
T1Q2,0.05,T2Q5,0.050,0.006977356756,0,2
T1Q2,0.05,T3Q1,0.025,0.005820723780,0,2
T1Q2,0.05,T3Q2,0.032,0.006099450715,0,2
T1Q2,0.05,T3Q3,0.040,0.006457178227,0,2
T1Q2,0.05,T3Q4,0.047,0.006811682019,0,2
T1Q2,0.05,T3Q5,0.062,0.007738151668,0,2
T1Q3,0.06,T1Q1,0.010,0.005539242531,1,1
T1Q3,0.06,T1Q2,0.013,0.005587012163,1,1
T1Q3,0.06,T1Q3,0.016,0.005635570704,1,1
T1Q3,0.06,T1Q4,0.019,0.005684946481,1,1
T1Q3,0.06,T1Q5,0.025,0.005820723780,0,2
T1Q3,0.06,T2Q1,0.020,0.005701591879,1,1
T1Q3,0.06,T2Q2,0.026,0.005858817840,0,2
T1Q3,0.06,T2Q3,0.032,0.006099450715,0,2
T1Q3,0.06,T2Q4,0.038,0.006363362765,0,2
T1Q3,0.06,T2Q5,0.050,0.006977356756,0,2
T1Q3,0.06,T3Q1,0.025,0.005820723780,0,2
T1Q3,0.06,T3Q2,0.032,0.006099450715,0,2
T1Q3,0.06,T3Q3,0.040,0.006457178227,0,2
T1Q3,0.06,T3Q4,0.047,0.006811682019,0,2
T1Q3,0.06,T3Q5,0.062,0.007738151668,0,2
T1Q4,0.07,T1Q1,0.010,0.005604494328,1,1
T1Q4,0.07,T1Q2,0.013,0.005652777123,1,1
T1Q4,0.07,T1Q3,0.016,0.005701857337,1,1
T1Q4,0.07,T1Q4,0.019,0.005751763607,1,1
T1Q4,0.07,T1Q5,0.025,0.005854179587,1,1
T1Q4,0.07,T2Q1,0.020,0.005768587854,1,1
T1Q4,0.07,T2Q2,0.026,0.005871600932,1,1
T1Q4,0.07,T2Q3,0.032,0.006099450715,0,2
T1Q4,0.07,T2Q4,0.038,0.006363362765,0,2
T1Q4,0.07,T2Q5,0.050,0.006977356756,0,2
T1Q4,0.07,T3Q1,0.025,0.005854179587,1,1
T1Q4,0.07,T3Q2,0.032,0.006099450715,0,2
T1Q4,0.07,T3Q3,0.040,0.006457178227,0,2
T1Q4,0.07,T3Q4,0.047,0.006811682019,0,2
T1Q4,0.07,T3Q5,0.062,0.007738151668,0,2
T1Q5,0.10,T1Q1,0.010,0.005802082254,1,1
T1Q5,0.10,T1Q2,0.013,0.005851911924,1,1
T1Q5,0.10,T1Q3,0.016,0.005902564673,1,1
