Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.012009994359386418533,3,1
T1Q2,0.05,T1Q2,0.013,0.012523926384594806349,3,1
T1Q3,0.06,T1Q3,0.016,0.013051352983893441649,3,1
T1Q4,0.07,T1Q4,0.019,0.013592622379596700748,3,1
T1Q5,0.10,T1Q5,0.025,0.015174579952645745672,3,1
T2Q1,0.06,T2Q1,0.020,0.013199030515284034436,3,1
T2Q2,0.07,T2Q2,0.026,0.013967792401162737521,0,4
T2Q3,0.09,T2Q3,0.032,0.015238580012711095214,0,4
T2Q4,0.11,T2Q4,0.038,0.016739224473606117578,0,4
T2Q5,0.15,T2Q5,0.050,0.020644953742455042352,0,4
T3Q1,0.10,T3Q1,0.025,0.015174579952645745672,3,1
T3Q2,0.13,T3Q2,0.032,0.016911653517436595269,3,1
T3Q3,0.16,T3Q3,0.040,0.018827295211153466541,3,1
T3Q4,0.19,T3Q4,0.047,0.020830649331202785713,3,1
T3Q5,0.25,T3Q5,0.062,0.026176586787417516098,0,4
