Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.005409642522,1,1
T1Q2,0.05,T1Q2,0.013,0.005521550322,1,1
T1Q3,0.06,T1Q3,0.016,0.005635570704,1,1
T1Q4,0.07,T1Q4,0.019,0.005751763607,1,1
T1Q5,0.10,T1Q5,0.025,0.006059768318,1,1
T2Q1,0.06,T2Q1,0.020,0.005701591879,1,1
T2Q2,0.07,T2Q2,0.026,0.005871600932,1,1
T2Q3,0.09,T2Q3,0.032,0.006117760066,1,1
T2Q4,0.11,T2Q4,0.038,0.006373996962,1,1
T2Q5,0.15,T2Q5,0.050,0.006977356756,0,2
T3Q1,0.10,T3Q1,0.025,0.006059768318,1,1
T3Q2,0.13,T3Q2,0.032,0.006400384441,1,1
T3Q3,0.16,T3Q3,0.040,0.006778918309,1,1
T3Q4,0.19,T3Q4,0.047,0.007156644803,1,1
T3Q5,0.25,T3Q5,0.062,0.008000511473,1,1
